DDA_pos,DDA_para,DDA_sec,DA_pos,DA_para,DA_sec,text_DDA,text_DA
Rec4,1,2,Rec4,1,1,"To ensure that Digital Services Coordinators can access information submitted via the DSA data access portal without needing to create a separate account in the portal, the DSA data access portal should be interoperable with the information sharing system AGORA established by Commission Implementing Regulation (EU) 2024/6073.","Data providers, and researchers wishing to participate in the data access process, should create an account on the DSA data access portal for that purpose. To ensure that Digital Services Coordinators can access information submitted via the DSA data access portal without needing to create a separate account on the portal, the DSA data access portal should be interoperable with the information sharing system AGORA established in Commission Implementing Regulation (EU) 2024/6073."
,,,Rec5,1,1,,"To ensure transparency of the data access process for all the parties involved and to monitor the effectiveness and efficiency of the data access process and compliance with Article 40(4) of Regulation (EU) 2022/2065 and this Regulation, the DSA data access portal should generate automatic notifications in relation to different steps and updates of the process."
Rec5,1,1,Rec6,1,1,"To make it easier for researchers to participate in the data access process, they should be given clear information about the procedures for applying for access to data. Digital Services Coordinators should therefore put in place dedicated information pages, including links to the DSA data access portal, allowing researchers to find information on the data access process.","In order to provide researchers with consistent information about the data access process, Digital Services Coordinators should make available and easily accessible on their online interfaces information concerning the data access process, including links to the DSA data access portal. To avoid creating unnecessary administrative burden, increase efficiency and facilitate communication among all parties involved in the data access process, Digital Services Coordinators are encouraged to facilitate the management of information related to the data access process, also from a linguistic perspective."
Rec6,1,1,Rec7,1,1,"To help applicant researchers to design effective research projects and to reduce the administrative burden of the data access process, data providers should provide an overview of the data inventory of their services easily accessible online, including indications on the data and data structures available, and where possible, indicate suggested modalities for accessing them.","In order to allow researchers to identify the relevant data for the purposes set out in Article 40(4) of Regulation (EU) 2022/2065, data providers should make available DSA data catalogues for their services. Such catalogues should be easily findable and accessible on the online interfaces of data providers, and should describe the available data assets, their data structure and metadata, access to which may be requested pursuant to Article 40(4) of Regulation (EU) 2022/2065. When making available the DSA data catalogues, data providers should have regard to risks to confidentiality, data security or personal data protection potentially deriving from such information being made public."
,,,Rec8,1,1,,"To contribute to the development of relevant research projects for the purposes set out in Article 40(4) of Regulation (EU) 2022/2065, the DSA data catalogues should include in particular data related to the systemic risks in the Union that data providers have identified in their annual risk assessments pursuant to Article 34 of that Regulation, as well as data related to any risk mitigation measures referred to in Article 35 of that Regulation. To ensure the relevance and timeliness of the DSA data catalogues, those catalogues should be updated regularly with due consideration to newly identified systemic risks and the evolution of systemic risks. For example, they should reflect emerging risks identified following an ad hoc risk assessment pursuant to Article 34 of Regulation (EU) 2022/2065 or following an audit report pursuant to Article 37 of that Regulation. To minimise the procedural burden on the data providers, where appropriate, such catalogues may rely on existing data documentation resources used for other purposes and audiences, such as advertising, content creation, or third-party app development. The DSA data catalogues should not be required to be exhaustive and therefore should not bind or limit applicant researchers in their data access applications."
,,,Rec9,1,1,,"In order to facilitate the determination of the access modalities by the Digital Services Coordinator of establishment and reduce the overall burden of the data access process on all actors involved, data providers should publish their suggested access modalities for the data described in the DSA data catalogues. These suggested access modalities should be proportionate to the sensitivity of the data and include information on the possible technical, organisational and legal conditions considered by the data providers as appropriate to enable the provision of the data. The access modalities suggested by data providers should not bind Digital Services Coordinators of establishment, who should remain competent to determine the appropriate access modalities."
Rec7,1,1,Rec10,1,1,"To ensure that data access application are treated equally, independently of the Member State from which the reasoned request originates, the timeframe for the formulation of reasoned requests should be harmonised. In case the formulation of the reasoned request requires additional time, the Digital Services Coordinator of establishment should notify the principal researcher, giving reasons for the delay. Such reasons may include the need to carry out additional verifications, for example where data access applications imply international data transfers, or where the Digital Services Coordinator of establishment has detected risks to the security of the Union if the data were to be shared. Making use of any independent advisory mechanism should not be among the reasons causing the delay.","To ensure that data access applications are treated equally, independently of the Digital Services Coordinator to which the data access application is submitted or from which the reasoned request originates, the timeframe for the formulation of reasoned requests should be specified to ensure consistency across all Digital Services Coordinators. If the formulation of the reasoned request requires additional time, the Digital Services Coordinator of establishment should notify the principal researcher, giving reasons for the delay. Such reasons may include the need for additional verifications by the Digital Services Coordinator of the research organisation or of establishment, for example where data access applications imply international data transfers, or where the Digital Services Coordinator of establishment has identified potential risks to the security of the Union if the data were to be shared. With a view to aligning also the steps in the data access process preceding the formulation of reasoned requests, including the assessment of data access applications and granting of vetted researcher status, Digital Services Coordinators are encouraged to develop a consistent and coordinated way of working, including common operational criteria, within the framework of the European Board for Digital Services."
Rec8,1,1,Rec11,1,1,"To ensure that the Digital Services Coordinator of establishment has all the information necessary to formulate the reasoned request, the Digital Services Coordinator to which the data access application was submitted, should verify that the data access application includes the relevant information and supporting documentation. Within 5 working days from the receipt of the data access application, the principal researcher should receive a confirmation of completeness or be notified about the possibility to correct and resubmit the data access application if information or supporting documentation are missing.","In order to streamline the procedures for the formulation of reasoned requests, all Digital Services Coordinators of establishment should be required to verify that certain common elements of the data access process were duly covered in the data access applications."
Rec9,1,1,Rec11,1,2,"As a prerequisite for formulating a reasoned request, the Digital Services Coordinator of establishment should verify whether all applicant researchers who are mentioned in the data access application have provided the relevant documentation demonstrating their affiliation to a research organisation, such as employment contracts or any other form of legal association.","To that end, the Digital Services Coordinators of establishment should verify that all applicant researchers who are mentioned in the data access application demonstrated their affiliation to a research organisation, for example by providing documentary evidence of employment contracts or any other form of legal association with the research organisation."
Rec9,1,2,Rec11,1,3,"The Digital Services Coordinator of establishment should also verify that documentation demonstrating their independence from commercial interests and their access to the available legal, organisational and technical means to meet the requirements of confidentiality, data security and protection of personal data has been provided, for example in the form of a commitment letter by the research organisation of affiliation of each applicant researcher.","The Digital Services Coordinators of establishment should also verify that the applicant researchers demonstrated their independence from commercial interests, for example, by means of a declaration to that effect."
Rec10,1,1,Rec12,1,1,"The Digital Services Coordinator of establishment should verify that the funding of the research project for which the data are requested is disclosed. The information provided by the applicant researchers should include details of financial and non-financial contributions, such as the amount, the nature of the contribution and the funding entity, as well as, where applicable, relevant references to EU funded projects.","The Digital Services Coordinator of establishment should verify that the funding of the research project for which the data are requested is disclosed in the data access application. The information provided by the applicant researchers should include details of the contributions, such as the funding entity, the amount, the nature and duration of the contribution, including whether the funding has already been awarded or whether an application for funding is still under evaluation, as well as, where applicable, relevant references to Union funded projects. Where available, the data access application should also include the outcomes of evaluations conducted by the entity or entities providing the funding."
Rec11,1,1,,,,"The Digital Services Coordinator of establishment should verify whether the data access application describes how the research project for which the data are requested is relevant for the purposes laid out in Article 40(4) of Regulation (EU) 2022/2065 and includes information on the research questions addressed and the planned methodology for conducting the research. Where available, the data access application should include the outcomes of evaluations concerning the scientific merits of the research projects conducted by the research organisation of affiliation or the entity providing the funding, including references to evaluation processes conducted in relation to EU funded projects.",
Rec12,1,1,Rec13,1,1,"The Digital Services Coordinator of establishment should verify that the data access application describes the modalities by which the data were selected, with reference to the requirements of necessity and proportionality, entailing that data can only be requested if the purposes of the research cannot be achieved by other existing means, such as data being available through other sources, including public data access modalities and tools. The data that can be applied for to study systemic risks in the Union may vary over time. ","The Digital Services Coordinator of establishment should verify that the data access application describes how the data and data format are selected, with reference to the requirements of necessity for, and proportionality to, the purpose of the envisaged research. Where the requested data are also available through other sources, the Digital Services Coordinator of establishment should assess whether the request for such data in the data access application is duly justified, having regard to the information in the data access application. Possible justifications may include evidence of poor quality or unreliability of such data deriving from other sources or the unsuitability of the format in which such data may be retrieved from other sources for the purposes of the research project, which would hinder the performance of the research project. Data that can be requested in order to study systemic risks or their mitigation in the Union may evolve in the future."
Rec12,1,2,Rec13,1,2,"Current examples of such data include data related to users such as profile information, relationship networks, individual-level content exposure and engagement histories; interaction data such as comments or other engagements; data related to content recommendations, including data used to personalise recommendations; data related to ad targeting and profiling, including cost per click data and other measures of advertising prices; data related to the testing of new features prior to their deployment, including the results of A/B tests; data related to content moderation and governance, such as data on algorithmic or other content moderation sytems and processes, archives or repositories documenting moderated content, including accounts as well as data related to prices, quantities and characteristics of goods or services provided by the data provider.","Current examples of such data include data related to users of the services, such as profile information, relationship networks, individual-level content exposure and engagement histories; interaction data such as comments or other engagements; data related to content recommendations, including data used to personalise recommendations; data related to the targeting of advertisements and profiling, including cost per click data and other measures of advertising prices; data related to the testing of new features prior to their deployment, including the results of A/B tests; data related to content moderation and governance, such as data on algorithmic or other content moderation systems and processes, including changelogs, archives or repositories documenting moderated content, including accounts as well as data related to prices, quantities and characteristics of goods or services provided or intermediated by the data provider."
Rec13,1,1,Rec14,1,1,"The Digital Services Coordinator of establishment should verify whether the data access application describes the requirements of confidentiality, security and protection of personal data with respect to the data requested, identifies possible risks deriving from the access and processing of such data for the purposes of the research, and illustrates the proposed legal, organisational and technical safeguards that will be put in place to minimise the identified risks. Such safeguards can take the form of any combination of relevant legal, organisational and technical means, including appropriate access modalities, and should be adapted to the specific research project. Possible examples include data access agreements, non-disclosure agreements, organisational measures, such as internal processes applied to monitor that measures that are intended as safeguards are correctly applied or internal verifications of the fulfilment of commitments from a data access application by staff not linked to the research project as well as activity logging or other authentication and access restriction measures and encrypted storage of the data.","The Digital Services Coordinator of establishment should verify whether the data access application provides for sufficient information that demonstrate that the researcher is capable of fulfilling the specific requirements of confidentiality, security and protection of personal data with respect to the requested data, identifies possible risks deriving from accessing and processing of such data for the purposes of the research, and documents any access modalities proposed, including the legal, organisational and technical conditions that will be put in place to minimise identified risks, for instance by means of a commitment letter from the research organisation confirming access to means that can constitute relevant safeguards, or other supporting Documents."
Rec14,1,1,Rec15,1,1,"Where personal data within the meaning of Article 4, point (1), of Regulation (EU) 2016/679 of the European Parliament and of the Council are requested, the Digital Services Coordinator of establishment should first verify that the data access application includes information on the legal basis justifying the processing of personal data, including special categories, where applicable, and whether such legal basis is in line with Article 6(1), points (e) or (f), or Article 9(2), points (g) or (j), of Regulation (EU) 2016/679. In addition, the Digital Services Coordinator of establishment should also verify that the data access application contains relevant data protection documentation, such as the records of processing activities pursuant to Article 30 of Regulation (EU) 2016/679, the data protection impact assessments within the meaning of Article 35 of Regulation (EU) 2016/679 and any other documentation ensuring the implementation of the principles of data protection by design and by default and the application of data security best practices, as relevant.","Where personal data are requested, the Digital Services Coordinator of establishment should verify that the data access application includes information on the legal basis for the processing of personal data, including special categories of personal data, where applicable, and whether such legal basis is in line with Article 6(1), point (e) or (f), and where applicable Article 9(2), point (g) or (j), of Regulation (EU) 2016/679. In addition, the Digital Services Coordinator of establishment should verify that the data access application contains sufficient indication that the researchers have assessed risks to personal data protection. For example, this could be demonstrated by a data protection impact assessment within the meaning of Article 35 of that Regulation."
Rec15,1,1,Rec16,1,1,"To facilitate the formulation of the reasoned request, the Digital Services Coordinator of establishment should verify whether the data access application includes a summary. The existence of such a summary should contribute to preserving the integrity of the information included in the data access application.","To facilitate the formulation of the reasoned request and preserve the integrity of the information included in the data access application the Digital Services Coordinator of establishment should verify whether the data access application includes a summary. Such summary should contain an overview of the information that will be part of the reasoned request, published in the DSA data access portal, in cases where the assessment of the data access application leads to the formulation of a reasoned request."
Rec16,1,1,Rec17,1,1,"In order to determine the appropriate access modalities, including appropriate interfaces as referred to in Article 40(7) of Regulation (EU) 2022/2065, the Digital Services Coordinator of establishment should assess whether the access modalities proposed by the applicant  researchers in the data access application are appropriate to fulfil the requirements of data security, data confidentiality and protection of personal data and, at the same time, enable the attainment of the research objectives of the research project. ","In order to ensure that the access modalities the Digital Services Coordinator of establishment determines are adequate to address the sensitivity of the specific data requested in a data access application, the Digital Services Coordinator of establishment should perform a case-by-case assessment, based on the information provided in the data access application. The access modalities established in the reasoned request should be appropriate to fulfil the requirements of data security, data confidentiality and protection of personal data and, at the same time, enable the attainment of the research objectives of the research project."
Rec16,1,2,Rec17,1,2,"Such modalities may be, among others, a data transmission to the vetted researchers via an appropriate interface and appropriate data storage; a transmission of the data to and storage in a secure processing environment operated by the data provider or by a certified third party provider to which vetted researchers have access but where no data transmission to the vetted researchers takes place, or other access modalities to be set up or facilitated by the data provider.","Access to data may take place for example through data transmission to the vetted researchers via an appropriate interface and appropriate data storage; transmission of the data to, and storage in, a secure processing environment operated by the data provider or by a third party provider to which vetted researchers have access but where no data transmission to the vetted researchers takes place, or other access modalities to be set up or facilitated by the data provider. When specifying the access modalities, the Digital Services Coordinator of establishment should also list any legal, technical or organisational conditions to which access is to be subject. In cases where providing access involves a transfer of personal data to third countries or international organisations within the meaning of Chapter V of Regulation (EU) 2016/679, the access modalities should also include information on the need to put in place an appropriate transfer mechanism, to ensure that the data provider takes the necessary action to comply with that Regulation."
