V1_pos,V1_para,V1_sec,V2_pos,V2_para,V2_sec,align_status,similarity,block_type_v1,block_type_v2,text_V1,text_V2,notes
Sec1,1.4(b),11,Sec1,1.4(b),11,exact,1,list,list,(b) They are independent from commercial interests;,(b) They are independent from commercial interests;,
Sec1,1.4(c),12,Sec1,1.4(c),12,exact,1,list,list,(c) They have disclosed the funding of the research;,(c) They have disclosed the funding of the research;,
Sec1,1.4(d),13,Sec1,1.4(d),13,exact,1,list,list,"(d) They can fulfil the specific data security, data protection and confidentiality requirements that correspond to the requested data and have described the appropriate technical and organisational measures that they have put and will put in place;","(d) They can fulfil the specific data security, data protection and confidentiality requirements that correspond to the requested data and have described the appropriate technical and organisational measures that they have put and will put in place;",
Sec1,1.4(e),14,Sec1,1.4(e),14,exact,1,list,list,"(e) Their access to the data and the time frames requested are necessary for, and proportionate to, the purpose of their research;","(e) Their access to the data and the time frames requested are necessary for, and proportionate to, the purpose of their research;",
Sec1,1.4(f),15,Sec1,1.4(f),15,exact,0.998,list,list,"(f) The planned research will be carried out for the sole purposes of contributing to an understanding of systemic risk in the EU stemming from the design, functioning or use of the relevant VLOP/VLOSE and the assessment of risk mitigation measures implemented by that VLOP/VLOSE; and","(f) The planned research will be carried out for the sole purpose of contributing to an understanding of systemic risk in the EU stemming from the design, functioning or use of the relevant VLOP/VLOSE and the assessment of risk mitigation measures implemented by that VLOP/VLOSE; and",
Sec1,1.4(g),16,Sec1,1.4(g),16,exact,1,list,list,"(g) They are committed to making the research results publicly available free of charge, within a reasonable period after the completion of the research.","(g) They are committed to making the research results publicly available free of charge, within a reasonable period after the completion of the research.",
Sec1,fn1,17,Sec1,fn1,17,exact,1,footnote,footnote,"[^1]: The term 'research organisation' has a specific definition, which is detailed further below.","[^1]: The term 'research organisation' has a specific definition, which is detailed further below.",
Sec1,1.5_p1,18,Sec1,1.5_p1,18,exact,1,paragraph,paragraph,"Where a DSC decides to designate a person as a VR for the specified research, the DSC will then issue a reasoned request for access to the data described in the application to the relevant VLOP/VLOSE. The VLOP/VLOSE will then be required to provide the VR with access to the specified data by way of the access modalities specified in the request, within a reasonable period specified in the request.[^2]","Where a DSC decides to designate a person as a VR for the specified research, the DSC will then issue a reasoned request for access to the data described in the application to the relevant VLOP/VLOSE. The VLOP/VLOSE will then be required to provide the VR with access to the specified data by way of the access modalities specified in the request, within a reasonable period specified in the request.[^2]",
Sec1,fn2,19,Sec1,fn2,19,exact,1,footnote,footnote,"[^2]: This is subject to the entitlement of a VLOP/VLOSE to request an amendment to the reasoned request, which is detailed further below.","[^2]: This is subject to the entitlement of a VLOP/VLOSE to request an amendment to the reasoned request, which is detailed further below.",
Sec2,title,20,Sec2,title,20,exact,1,title,title,2. Overview of Guidance,2. Overview of Guidance,
Sec2,2.1_p1,21,Sec2,2.1_p1,21,fuzzy,0.827,paragraph,paragraph,"Coimisiún na Meán (""**An Coimisiún**"") has developed this Guidance to inform interested researchers of the following:","Coimisiún na Meán (""**An Coimisiún**"") has developed this Guidance to outline the following:",
Sec2,2.1(a),22,Sec2,2.1(a),22,exact,1,list,list,(a) the form and manner in which applications for VR status are to be made; and,(a) The form and manner in which applications for VR status are to be made; and,
Sec2,2.1(b),23,Sec2,2.1(b),23,exact,1,list,list,(b) an overview of the process for the assessment of applications for VR status.,(b) An overview of the process for the assessment of applications for VR status.,
Sec2,2.1(c),24,,,,v1_only,,list,,"(c) The aim of the Guidance is to help applicant researchers (referred to as **""you""/ ""your""**) to understand what is required of you for the application process and what the process will involve.",,
Sec2,2.2_p1,25,Sec2,2.2_p1,24,exact,1,paragraph,paragraph,"The Guidance is informed by Irish and European legislation, in particular the DSA, the Broadcasting Act 2009 (the ""**2009 Act**"") and the Delegated Act.","The Guidance is informed by Irish and European legislation, in particular the DSA, the Broadcasting Act 2009 (the ""2009 Act"") and the Delegated Act.",
Sec2,2.3_p1,26,Sec2,2.3_p1,25,v2_only,,,paragraph,"This Guidance has been provided to assist applicants for VR status in understanding the process that will be undertaken by An Coimisiún. It is not legal advice, it is not binding on An Coimisiún and it is not intended to have any impact on how any statutory provision is interpreted or applied. You are advised to obtain your own independent legal advice on the relevant statutory provisions. This Guidance may be updated and amended by An Coimisiún as considered necessary and appropriate and, subject to its obligations under applicable law, An Coimisiún reserves the right to amend its process as it sees fit.","It is not legal advice, it is not binding on An Coimisiún and it is not intended to have any impact on how any statutory provision is interpreted or applied. The Applicant(s) and VLOP/VLOSE are advised to obtain their own independent legal advice on the relevant statutory provisions. This Guidance may be updated and amended by An Coimisiún as considered necessary and appropriate and, subject to its obligations under applicable law, An Coimisiún reserves the right to amend its process as it sees fit.",
Sec3,title,27,Sec3,title,26,exact,1,title,title,3. Overview of VR status application process,3. Overview of VR status application process,
Sec3,3.1_p1,28,Sec3,3.1_p1,27,fuzzy,0.904,paragraph,paragraph,The VR status application process begins with your registration as a researcher on the Portal.,The VR status application process begins with the Applicant's registration as a researcher on the Portal.,
Sec3,3.2_p1,29,Sec3,3.2_p1,28,v2_only,0.267,paragraph,paragraph,"Once you have registered as a principal or applicant researcher on the Portal, you will be able to access the private researcher-only area of the site. Here is where you will submit applications for VR status for specific research.","Once the Applicant has registered as a principal or applicant researcher on the Portal, the Applicant will be able to access the private researcher-only area of the site. Here is where the Applicant submit applications for VR status for specific research.",
Sec3,3.3_p1,30,Sec3,3.3_p1,29,v2_only,0.552,paragraph,paragraph,"In line with the 3 Act[^3], An Coimisiún has specified the form and manner in which an application must be made. The elements that an application is required to contain in order to be deemed complete and to proceed to the substantive assessment stage (the ""**Application Requirements**”. You should consult the Application Requirements before submitting any application, as failure to comply with the Application Requirements may lead to your application being rejected as incomplete (meaning that it will not proceed to the substantive assessment stage).","In line with the 2009 Act[^3], An Coimisiún has specified the form and manner in which an application must be made. The elements that an application is required to contain in order to be deemed complete and to proceed to the substantive assessment stage (the ""**Application Requirements**"") are described in section 5 below. The Applicant(s) should consult the Application Requirements before submitting any application, as failure to comply with the Application Requirements may lead to application being rejected as incomplete (meaning that it will not proceed to the substantive assessment stage).",
Sec3,fn3,31,Sec3,fn3,30,exact,0.984,footnote,footnote,[^3]: S. 187(1) Broadcasting Act 2009,[^3]: S187(1) Broadcasting Act 2009,
Sec3,3.4_p1,32,Sec3,3.4_p1,31,fuzzy,0.853,paragraph,paragraph,"When you are submitting an application via the Portal, you will have the option to submit your application to:","When submitting an application via the Portal, the Applicant(s) will have the option to submit an application to:",
Sec3,3.4(a),33,Sec3,3.5_p1,32,exact,0.991,list,paragraph,"(a) The DSC of the EU Member State in which the main establishment of the provider of the VLOP or VLOSE is located or, where the provider has no establishment in the EU, where its legal representative resides or is established (referred to as the DSC of Establishment (""**DSCoE**"")); or","The DSC of the EU Member State in which the main establishment of the provider of the VLOP or VLOSE is located or, where the provider has no establishment in the EU, where its legal representative resides or is established (referred to as the DSC of Establishment (""DSCoE""));",
Sec3,3.4(b),34,Sec3,3.6_p1,33,v2_only,0.161,list,paragraph,"(b) The DSC of the EU Member State where your affiliated research organisation is based (and, where this Member State is different from the EU Member State of the DSCoE of the VLOP or VLOSE, this DSC shall be referred to as the DSC of Origin (""**DSCoO**"")).","or The DSC of the EU Member State where the Applicant(s) affiliated research organisation is based (and, where this Member State is different from the EU Member State of the DSCoE of the VLOP or VLOSE, this DSC shall be referred to as the DSC of Origin (""DSCoO"")).",
Sec3,3.5_p1,35,Sec3,3.7_p1,34,v2_only,0.036,paragraph,paragraph,"Where you submit your application to your DSCoO, it will carry out an initial assessment of your application before transmitting it to the DSCoE. The DSCoE will then assess the application and will make a final decision on the application. If the DSCOO deems the application is incomplete, the DSCOO will transmit it to the DSCoE and notify the DSCoE of this initial view, and the DSCoE will proceed with its consideration of the application, first deciding whether the application should proceed.","Where the Applicant(s) submits an application to their DSCoO, the DSCoO will carry out an initial assessment of the application before transmitting it to the DSCoE. The DSCoE will then assess the application and will make a final decision on the application. If the DSCoO deems the application is incomplete, the DSCoO will transmit the initial assessment to the DSCoE, notifying the DSCoE of this initial view. Upon receipt of the initial assessment, the DSCoE will proceed with consideration of the application.",
Sec3,3.6_p1,36,Sec3,3.8_p1,35,exact,1,paragraph,paragraph,"All applications must, at a minimum, be consistent with the Application Requirements. On receipt of an application, An Coimisiún will carry out what is referred to as a ""**Completeness Check**"" to ensure that the application complies with the Application Requirements. Where an application does not comply with the Application Requirements, the application will be deemed incomplete and will be rejected on that basis without An Coimisiún proceeding to assess the substance of the application.","All applications must, at a minimum, be consistent with the Application Requirements. On receipt of an application, An Coimisiún will carry out what is referred to as a ""**Completeness Check**"" to ensure that the application complies with the Application Requirements. Where an application does not comply with the Application Requirements, the application will be deemed incomplete and will be rejected on that basis, without An Coimisiún proceeding to assess the substance of the application.",
,,,Sec3,3.9_p1,36,v2_only,,,paragraph,,"Applicants are responsible for ensuring that all information in their application is accurate, this includes details regarding the research organisation with which they are affiliated, and, in particular contact details for that organisation.",
Sec3,3.7_p1,37,Se3,3.11_p1,37,v2_only,0.193,paragraph,,"Where an application is rejected by An Coimisiún on the basis that it is incomplete, you are encouraged to resubmit a new application which complies in full with the Application Requirements. For the avoidance of doubt, in these circumstances you must submit a new application via the Portal. It is not possible to seek to supplement or update your initial application where that has been rejected and An Coimisiún will not be in a position to consider any information or documentation submitted to it in connection with an application which has been rejected.","Where an application is rejected by An Coimisiún on the basis that it is incomplete, the Applicant(s) is encouraged to resubmit a new application, that complies in full with the Application Requirements. For the avoidance of doubt, in these circumstances the Applicant(s) must submit a new application via the Portal. It is not possible to seek to supplement or update an initial application where that has been rejected, and An Coimisiún will not be in a position to consider any information or documentation submitted to it in connection with an application that has been rejected.",
,,,Sec3,3.10_p1,38,v2_only,,,paragraph,,"It should be noted that Coimisiún na Meán, as a DSCoE will assess applications and supporting documents submitted in the English or Irish languages only.",
Sec3,3.8_p1,38,Sec3,3.12_p2,39,fuzzy,0.662,paragraph,paragraph,"Where your application is deemed complete, it will proceed to the assessment phase (""**Assessment**""). Where a DSCoO has carried out an initial assessment, this will be considered by An Coimisiún as DSCoE in its assessment of the application. The Assessment will involve An Coimisiún considering the application and supporting documentation provided with a view to deciding whether you have demonstrated that you meet the conditions set out in Article 40(8) of the DSA, and the related requirements set out in Article 8 of the Delegated Act.","Where an application is deemed complete, it will proceed to the assessment phase (""**Assessment**""). Where a DSCoO has carried out an initial assessment, this initial assessment will be considered by An Coimisiún as DSCoE in its assessment of the application. The Assessment will involve An Coimisiún considering the application and supporting documentation provided with a view to deciding whether the Applicant(s) has demonstrated that they have met the conditions set out in Article 40(8) of the DSA, and the related requirements set out in Article 8 of the Delegated Act.",
Sec3,3.9_p1,39,Sec3,3.13_p1,40,v1_only,0.217,paragraph,,"In the course of the Assessment, An Coimisiún may request further information from you regarding your application. When requesting information, An Coimisiún will specify a time period in which the information requested is to be provided. Failure to provide the information requested within the time period set out may impact the ability of An Coimisiún to proceed with the Assessment of your application. Failure to provide the information requested may lead to a decision that you have not demonstrated that you meet the designation conditions and related requirements.","In the course of the Assessment, An Coimisiún may request further information from the Applicant(s) regarding an application. As detailed below, An Coimisiún may also provide the relevant VLOP/VLOSE with the opportunity to submit comments on an application. When requesting information and/or providing the opportunity to submit comments, An Coimisiún will specify a time period in which the information and/or comments should be provided.",
Sec3,3.10_p1,40,Sec3,3.16_p1,41,exact,1,paragraph,paragraph,An Coimisiún may consult with subject matter experts in the course of the Assessment which may require the sharing of documents in the Application.,"An Coimisiún may consult with subject matter experts in the course of the Assessment, which may require the sharing of documents in the Application.",
Sec3,3.11_p1,41,Sec3,3.17_p1,42,v1_only,0.394,paragraph,,"It may be necessary for An Coimisiún to share information contained in your application, the application and supporting documents with the relevant VLOP/VLOSE to give them an opportunity to submit comments on the application prior to a decision being made.","It may be necessary for An Coimisiún to share information contained in the application and supporting documents with the relevant VLOP/VLOSE in order to provide an opportunity to submit comments on the application prior to a decision being made. Similarly, in certain circumstances, it may be necessary for An Coimisiún to share information contained in the submissions made by a VLOP/VLOSE with an Applicant in advance of a decision being made. In addition, An Coimisiún is also obliged to publish an overview of a reasoned request in the DSA data access portal once it is formulated.",
Sec3,3.12_p1,42,Sec3,3.21_p1,43,exact,0.95,paragraph,paragraph,"An Coimisiún is required to determine your application within 80 working days of the date on which it is submitted. This 80 working day period can be extended where this is justified. Where An Coimisiún requires additional time to make its decision, it will notify you of same, explaining the basis on which additional time is required and notifying you of a new date by which the application will be determined.","An Coimisiún is required to determine an application within 80 working days of the date on which it is submitted. This 80 working day period can be extended where this is justified. Where An Coimisiún requires additional time to make its decision, it will notify the Applicant(s) of same, explaining the basis on which additional time is required and notifying the Applicant(s) of a new date by which the application will be determined.",
,,,Sec3,3.14_p1,44,v2_only,,,paragraph,,"In circumstances where strict timelines are provided for the conduct of an assessment and delivery of a decision by An Coimisiún as DSCoE, the delivery of additional information requested and/or comments by the Applicant(s) or a VLOP/VLOSE, as appropriate, will be time sensitive.",
Sec3,3.13_p1,43,Sec3,3.22_p1,45,exact,0.936,paragraph,paragraph,"You will be notified of An Coimisiún's decision regarding your application via the Portal (the ""**Application Decision**""). Where An Coimisiún decides to designate you as a VR for the specified research, An Coimisiún will proceed to issue a reasoned request for access to data to the relevant VLOP/VLOSE concerned (the ""**Reasoned Request**"").","The Applicant(s) will be notified of An Coimisiún's decision regarding the application via the Portal (the ""**Application Decision**""). Where An Coimisiún decides to designate the Applicant(s) as a VR for the specified research, An Coimisiún will proceed to issue a reasoned request for access to data to the relevant VLOP/VLOSE concerned (the ""Reasoned Request"").",
,,,Sec3,3.15_p1,46,v2_only,,,paragraph,,"In light of this time sensitivity, it should be noted that failure by an Applicant(s) to provide the information requested by An Coimisiún within the time period set out may impact the ability of An Coimisiún to proceed with the Assessment of the application. In addition, a failure of the Applicant(s) to provide the information requested by An Coimisiún may lead to a decision that the Applicant(s) has not demonstrated that they meet the designation conditions and related requirements.",
Sec3,3.14_p1,44,Sec3,3.23_p1,47,exact,0.977,paragraph,paragraph,"On receipt of the Reasoned Request, the VLOP/VLOSE must either proceed to provide you with access to the requested data within the time period specified in the Reasoned Request, in accordance with the terms of the Reasoned Request or, within 15 days of receipt of the Reasoned Request, submit a proposal for an amendment to the Reasoned Request (an ""Amendment Request"") on the basis that:","On receipt of the Reasoned Request, the VLOP/VLOSE must either proceed to provide the Applicant(s) with access to the requested data within the time period specified in the Reasoned Request, in accordance with the terms of the Reasoned Request or, within 15 days of receipt of the Reasoned Request, submit a proposal for an amendment to the Reasoned Request (an ""**Amendment Request**"") on the basis that:",
Sec3,3.14(a),45,Sec3,3.23(a),48,exact,1,list,list,(a) They do not have access to the data; or,(a) They do not have access to the data; or,
Sec3,3.14(a),46,Sec3,3.23(b),49,,1,list,list,"(b) Giving access to the data would lead to significant vulnerabilities in the security of their service or the protection of confidential information, in particular trade secrets","(b) Giving access to the data would lead to significant vulnerabilities in the security of their service or the protection of confidential information, in particular trade secrets.",
,,,Sec3,3.18_p1,50,v2_only,,,paragraph,,"In light of this, if there is any information in an application and supporting documentation and/or submissions which the Applicants and/or VLOPS/VLOSES consider to be confidential, the Applicant(s) and VLOPS/VLOSES should clearly identify that information and explain why they believe it should not be shared or published. Confidential information may include commercially sensitive information (whether to the Applicant(s) or VLOP/VLOSE or to another party, such as the research organisation with which the Applicant(s) are affiliated).",
Sec3,3.15_p1,47,Sec3,3.24_p1,57,,,paragraph,,"An Coimisiún will determine any Amendment Request submitted to it in accordance with the DSA and Delegated Act within a further 15 days. To enable An Coimisiún to make its determination, it may issue requests for information to you and/or the VLOP/VLOSE concerned and/or consult with subject matter experts. If the amendment proposal is accepted by An Coimisiún, a new Reasoned Request will be formulated by An Coimisiún and issued to the VLOP/VLOSE, who will then be required to comply with the revised terms of the Reasoned Request. You will be notified of the decision of An Coimisiún in relation to any Amendment Request and provided with the amended Reasoned Request, where applicable.","An Coimisiún will determine any Amendment Request submitted to it in accordance with the DSA and Delegated Act within a further 15 days. To enable An Coimisiún to make its determination, it may issue requests for information to the Applicant(s) and/or the VLOP/VLOSE concerned and/or consult with subject matter experts. If the amendment proposal is accepted by An Coimisiún, a new Reasoned Request will be formulated by An Coimisiún and issued to the VLOP/VLOSE, who will then be required to comply with the revised terms of the Reasoned Request. The Applicant(s) will be notified of the decision of An Coimisiún in relation to any Amendment Request and provided with the amended Reasoned Request, where applicable.",
,,,Sec3,3.19_p1,51,v2_only,,,paragraph,,"When claiming that information is confidential, Applicants and VLOPS/VLOSES should:",
,,,Sec3,3.19(a),52,v2_only,,,list,,(a) Identify those specific pieces of information in respect of which confidentiality is claimed;,
,,,Sec3,3.19(b),53,v2_only,,,list,,"(b) Explain the basis upon which confidentiality is claimed and, in doing so, clearly identify the harm that would result from the disclosure of the information claimed to be confidential;",
,,,Sec3,3.19(c),54,v2_only,,,list,,(c) Provide i) a non-confidential version and ii) a confidential version of each of the relevant documents to An Coimisiún. The non-confidential version of relevant documents should redact the information in respect of which confidentiality is claimed; and,
,,,Sec3,3.19(d),55,v2_only,,,list,,(d) provide a non-confidential summary of information in respect of which confidentiality is claimed.,
,,,Sec3,3.20_p1,56,v2_only,,,paragraph,,"Please note that, in general terms, Applicants and VLOPS/VLOSES may not claim confidentiality over an entire document or whole sections of a document. It should be possible to protect confidential information with limited redactions; entirely blank or blacked-out pages without justification will not be accepted. An Coimisiún retains the discretion to share or publish whatever information An Coimisiún considers necessary.",
Sec3,3.16_p1,48,Sec3,3.25_p1,58,exact,,paragraph,,"You will also be notified through the Portal in the event An Coimisiún decides that your application does not demonstrate that you meet the designation conditions and related requirements and, accordingly, refuses to designate you as a VR for the specified research. Where your application has been refused, if you wish to challenge the refusal, you will have 14 days from the date of service of the notification of this decision to request a review by an independent reviewer (a ""**Review Request**"") of the Application Decision.","The Applicant(s) will also be notified through the Portal in the event An Coimisiún decides that the application does not demonstrate that the Applicant(s) meet the designation conditions and related requirements and, accordingly, refuses to designate the Applicant(s) as a VR for the specified research. Where an application has been refused, if the Applicant(s) wish to challenge the refusal, the Applicant(s) will have 14 days from the date of service of the notification of this decision to request a review by an independent reviewer (a ""**Review Request**"") of the Application Decision.",
Sec4,title,49,Sec4,title,59,exact,1,title,title,4. How to apply,4. How to apply,
Sec4,4.1_p1,50,Sec4,4.1_p1,60,fuzzy,0.744,paragraph,paragraph,"Applications must be submitted via the Data Access Application Portal (""**Portal**"").",Applications must be submitted via the Portal.,
Sec4,4.2_p1,51,Sec4,4.3_p1,61,exact,1,paragraph,paragraph,"To access the features available on the private area of the Portal, which is necessary in order to make an application, each researcher needs to have EU login credentials and a profile created on the Portal.","To access the features available on the private area of the Portal, which is necessary in order to make an application, each researcher needs to have EU login credentials and a profile created on the Portal.",
Sec4,4.3_p1,52,Sec4,4.3_p2,62,exact,1,paragraph,paragraph,Each researcher participating in a VR status application should have a dedicated profile created on the Portal for submitting VR status applications as principal researcher or as applicant researcher on the VR status application.,Each researcher participating in a VR status application should have a dedicated profile created on the Portal for submitting VR status applications as principal researcher or as applicant researcher on the VR status application.,
Sec5,title,53,Sec5,title,63,exact,1,title,title,5. Application Requirements,5. Application Requirements,
Sec5,5.1_p1,54,Sec5,5.1_p1,64,exact,0.992,paragraph,paragraph,An application shall be made in the form and manner specified by An Coimisiún[^4] and this section of the Guidance sets out what an application must contain in order for it to be considered by An Coimisiún to be a complete application. Failure to comply with the Application Requirements may lead to your application being rejected as incomplete meaning that it will not proceed to the Assessment stage.,An application shall be made in the form and manner specified by An Coimisiún[^4] and this section of the Guidance sets out what an application must contain in order for it to be considered by An Coimisiún to be a complete application. Failure to comply with the Application Requirements may lead to an application being rejected as incomplete meaning that it will not proceed to the Assessment stage.,
Sec5,5.2_p1,55,Sec5,5.2_p1,65,exact,0.931,paragraph,paragraph,You are responsible for demonstrating that you satisfy the conditions set out in Article 40(8) of the DSA and related requirements set out in the Delegated Act and you must submit all of the information and the documentary evidence specified in this Guidance and/or as may be requested at a later stage by An Coimisiún. It is important that you ensure <u>**full and accurate information**</u> is provided to avoid any delays to the application process and to avoid your application being closed on the basis that it is incomplete.,The Applicant(s) is responsible for demonstrating that they satisfy the conditions set out in Article 40(8) of the DSA and related requirements set out in the Delegated Act and the Applicant(s) must submit all of the information and the documentary evidence specified in this Guidance and/or as may be requested at a later stage by An Coimisiún. It is important that the Applicant(s) ensure <u>**full and accurate information**</u> is provided to avoid any delays to the application process and to avoid an application being closed on the basis that it is incomplete.,
Sec5,5.3_p1,56,Sec5,5.3_p1,66,v1_only,0.231,paragraph,,"In assessing an application, An Coimisiún will have regard to the information submitted by you and also to information available to it from its own independent information-gathering and research that may be relevant to its verification of the information submitted by you. An Coimisiún may also take into account information provided to it by the VLOP/VLOSE in connection with your application.","In assessing an application, An Coimisiún will have regard to the information submitted by the Applicant(s) and also to information available to it from its own independent information- gathering and research that may be relevant to its verification of the information submitted by the Applicant(s). An Coimisiún may also take into account information provided to it by the VLOP/VLOSE in connection with an application.",
Sec5,5.3_p2,57,Sec5,fn4,67,exact,1,paragraph,footnote,[^4]: Section 187(1) of the 2009 Act.,[^4]: Section 187(1) of the 2009 Act.,
Sec6,title,58,Sec6,title,68,exact,1,title,title,6. Information to be provided in respect of each of the conditions in Article 40(8) and related requirements in the Delegated Act in order for an application to be considered complete,6. Information to be provided in respect of each of the conditions in Article 40(8) and related requirements in the Delegated Act in order for an application to be considered complete,
Sec6,6.1_h,59,Sec6,6.1_h,69,exact,1,italic_heading,italic_heading,*Article 40(8)(a) - Demonstrating Affiliation to Research Organisation*,*Article 40(8)(a) - Demonstrating Affiliation to Research Organisation*,
Sec6,6.1_p1,60,Sec6,6.1_p1,70,exact,1,paragraph,paragraph,"For each applicant researcher, the application must demonstrate (i) affiliation to a research organisation. For these purposes 'research organisation' has the definition given to it in Article 2, point (1), of Directive (EU) 2019/790 of the European Parliament and of the Council and includes civil society organisations that are conducting scientific research with the primary goal of supporting their public interest mission (a ""**Research Organisation**""). In order to be deemed complete, the application must contain information and documentation which will allow An Coimisiún to assess, in respect of each applicant researcher, their affiliation to a Research Organisation.","For each applicant researcher, the application must demonstrate (i) affiliation to a research organisation. For these purposes 'research organisation' has the definition given to it in Article 2, point (1), of Directive (EU) 2019/790 of the European Parliament and of the Council and includes civil society organisations that are conducting scientific research with the primary goal of supporting their public interest mission (a ""**Research Organisation**""). In order to be deemed complete, the application must contain information and documentation which will allow An Coimisiún to assess, in respect of each applicant researcher, their affiliation to a Research Organisation.",
Sec6,6.1_p2,61,Sec6,6.1_p2,71,exact,1,paragraph,paragraph,"This may include, but is not limited to, providing at least one and, in some situations, more than one, of the items listed below. Applicants should consider, having regard to their particular circumstances, what information and documentation should be provided in order for their application to demonstrate affiliation to a Research Organisation:","This may include, but is not limited to, providing at least one and, in some situations, more than one, of the items listed below. Applicants should consider, having regard to their particular circumstances, what information and documentation should be provided in order for their application to demonstrate affiliation to a Research Organisation:",
Sec6,6.1_u1,62,Sec6,6.1_u1,72,exact,1,underline_heading,underline_heading,<u>Affiliation</u>,<u>Affiliation</u>,
Sec6,6.1(a),63,Sec6,6.1(a),73,exact,1,list,list,(a) Proof of legal association with a Research Organisation;,(a) Proof of legal association with a Research Organisation;,
Sec6,6.1(b),64,Sec6,6.1(b),74,exact,1,list,list,(b) Contract of employment for the researcher in question;,(b) Contract of employment for the researcher in question;,
